date;cultural_venues;gastronomy;essential_retail;non-essential_retail;major_events;events_and_gatherings;public_gatherings;traceability;tourism;traveling;school_facilities;university_facilities;sport_facilities;medical_facilities;mouth_and_nose_covering;curfew;new_infections
2021-03-22;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;170
2021-03-23;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;207
2021-03-24;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;235
2021-03-25;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;313
2021-03-26;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;204
2021-03-27;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;240
2021-03-28;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;127
2021-03-29;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;169
2021-03-30;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;224
2021-03-31;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;251
